type ,abscissa,ordinate,color,value
Pentagon ,39.08746445,15.12230394,Yellow,5
polygons (15 sides),39.08961455,70.46619408,Grey,5
polygons (11 sides),39.11025189,30.47869518,Grey,22
polygons (11 sides),39.14283779,30.79285594,Grey,22
Clock (2:00),39.18190709,79.8190372,Pink,2
banana,39.19959418,23.68049566,Blue,1
Pentagon ,39.20671933,51.5337157,Yellow,5
Clock (2:00),39.23928078,79.26372384,Pink,2
Pentagon ,39.31187189,15.64071697,Yellow,5
polygons (15 sides),39.32375603,59.30081967,Grey,5
Pentagon ,39.4029453,51.1508572,Yellow,5
Clock (2:00),39.43116121,19.32384075,Pink,2
Clock (2:00),39.46295984,78.4599739,Pink,2
banana,39.48557479,20.03305005,Orange,1
banana,39.4872,25.3846,Yellow ,1
polygons (15 sides),39.50578908,74.85162722,Grey,5
Pentagon ,39.58256675,17.64845284,Yellow,5
Pentagon ,39.61754583,62.92518796,Yellow,5
banana,39.64826665,22.73136637,Blue,1
Pentagon ,39.66157367,15.60935558,Yellow,5
polygons (15 sides),39.70632617,84.2752871,Grey,5
banana,39.73633061,23.49480698,Blue,1
banana,39.74037952,18.74105141,Blue,1
Clock (2:00),39.75564907,79.65709664,Pink,2
Clock (2:00),39.76282611,76.40596745,Pink,2
polygons (15 sides),39.77748287,43.75581895,Grey,5
Clock (2:00),39.78452494,82.2605659,Pink,2
banana,39.79329057,75.80796422,Orange,1
Clock (2:00),39.79727127,16.08354965,Pink,2
polygons (15 sides),39.81123025,65.33483281,Grey,5
Clock (2:00),39.87830465,18.32492922,Pink,2
banana,39.92136281,19.70184953,Orange,1
Clock (2:00),39.93167463,79.939188,Pink,2
polygons (15 sides),39.96302158,42.94491485,Grey,5
Clock (2:00),40.04818647,24.26148793,Pink,2
banana,40.0500952,71.88903357,Blue,1
banana,40.07880645,80.24718526,Blue,1
Clock (2:00),40.22206279,20.6146217,Pink,2
banana,40.2564,51.4103,Yellow ,1
Pentagon ,40.38340582,21.39122552,Yellow,5
Pentagon ,40.39863291,16.34700838,Yellow,5
Pentagon ,40.43569158,20.23267068,Yellow,5
polygons (15 sides),40.467576,60.02751209,Grey,5
Clock (2:00),40.51244785,22.96221457,Pink,2
polygons (15 sides),40.57019704,79.37296348,Grey,5
Clock (2:00),40.62211592,78.54210421,Pink,2
polygons (15 sides),40.63504181,73.39475037,Grey,5
Clock (2:00),40.64371928,20.24086137,Pink,2
Pentagon ,40.74898026,16.18214166,Yellow,5
Clock (2:00),40.7498794,77.20465729,Pink,2
banana,40.7692,88.3333,Yellow ,1
polygons (11 sides),40.81695313,50.4877602,Grey,22
banana,40.86385523,82.9261453,Blue,1
Pentagon ,40.89925918,20.79852895,Yellow,5
polygons (15 sides),40.91383193,38.55901955,Grey,5
Clock (2:00),40.91597158,23.54159239,Pink,2
Pentagon ,40.93654667,16.91300484,Yellow,5
banana,41.0256,25.2564,Yellow ,1
banana,41.02697157,76.40958846,Orange,1
Clock (2:00),41.06430579,12.21446893,Pink,2
banana,41.10069438,26.55261322,Blue,1
polygons (11 sides),41.16931042,10.49730024,Grey,22
Clock (2:00),41.2090395,24.12870919,Pink,2
Clock (2:00),41.27005653,21.72181715,Pink,2
Clock (2:00),41.32338329,80.2118686,Pink,2
Pentagon ,41.32720065,49.07025127,Yellow,5
polygons (11 sides),41.41711528,50.46977342,Grey,22
Pentagon ,41.47014233,17.27803344,Yellow,5
Pentagon ,41.48150286,18.04743744,Yellow,5
Pentagon ,41.52891976,24.91642519,Yellow,5
Clock (2:00),41.636093,76.24922292,Pink,2
Pentagon ,41.64045402,27.09309542,Yellow,5
polygons (15 sides),41.67759577,30.20126408,Grey,5
Pentagon ,41.67984769,17.74591901,Yellow,5
Pentagon ,41.74024382,17.82932431,Yellow,5
polygons (11 sides),41.77974178,50.47064228,Grey,22
Clock (2:00),41.78732323,83.98807799,Pink,2
Pentagon ,41.93833001,24.99152298,Yellow,5
Pentagon ,41.96861683,26.4970726,Yellow,5
Clock (2:00),42.00285627,97.83761472,Pink,2
polygons (15 sides),42.06330456,2.335196612,Grey,5
Clock (2:00),42.08066069,24.94652645,Pink,2
banana,42.14226829,76.88063455,Orange,1
Pentagon ,42.1787134,26.49211948,Yellow,5
polygons (15 sides),42.18567914,66.03489782,Grey,5
Clock (2:00),42.19526615,20.91937219,Pink,2
polygons (11 sides),42.22412022,30.49803716,Grey,22
polygons (15 sides),42.22937838,19.91406841,Grey,5
polygons (11 sides),42.24229294,89.70857859,Grey,22
Clock (2:00),42.3462616,24.55832694,Pink,2
Clock (2:00),42.3678225,73.63827183,Pink,2
Clock (2:00),42.43088899,75.13363464,Pink,2
polygons (11 sides),42.44843378,89.50770012,Grey,22
Pentagon ,42.47653994,18.33847356,Yellow,5
polygons (15 sides),42.47679238,56.73128997,Grey,5
Clock (2:00),42.61255083,24.19505377,Pink,2
banana,42.68104041,18.5425362,Orange,1
polygons (11 sides),42.70403632,90.44262886,Grey,22
polygons (11 sides),42.71319362,10.48754724,Grey,22
polygons (11 sides),42.73907512,50.48315599,Grey,22
polygons (15 sides),42.78176125,12.99118843,Grey,5
Pentagon ,42.81171147,30.02044842,Yellow,5
banana,42.8205,91.4103,Yellow ,1
banana,42.8205,32.5641,Yellow ,1
Clock (2:00),42.82675634,25.55695941,Pink,2
banana,42.84184265,20.33390044,Blue,1
banana,42.87903652,18.48941103,Orange,1
banana,42.88175509,80.18477005,Blue,1
polygons (15 sides),42.96804691,17.9454584,Grey,5
banana,43.04618324,18.40255939,Orange,1
Clock (2:00),43.08125586,75.34670164,Pink,2
Pentagon ,43.23308466,63.16521872,Yellow,5
Pentagon ,43.30061489,31.5264262,Yellow,5
polygons (11 sides),43.37100189,50.50083732,Grey,22
polygons (15 sides),43.49045013,40.78254207,Grey,5
polygons (15 sides),43.54277593,62.46031128,Grey,5
Clock (2:00),43.54988148,24.30721094,Pink,2
polygons (11 sides),43.58846847,89.74553655,Grey,22
Pentagon ,43.59511586,19.99420098,Yellow,5
polygons (15 sides),43.68439343,32.82300987,Grey,5
Pentagon ,43.7225508,19.0773278,Yellow,5
Clock (2:00),43.74461968,71.26796108,Pink,2
Clock (2:00),43.8568985,77.60984365,Pink,2
banana,43.91938731,27.79784459,Blue,1
polygons (15 sides),43.94986459,75.95871567,Grey,5
Pentagon ,44.00131524,33.90420735,Yellow,5
Pentagon ,44.00714993,46.44967378,Yellow,5
Pentagon ,44.04456562,35.66223828,Yellow,5
Pentagon ,44.05392751,33.55639249,Yellow,5
Pentagon ,44.07406069,34.55320389,Yellow,5
banana,44.1026,52.9487,Yellow ,1
banana,44.1026,25.641,Yellow ,1
banana,44.1026,92.6923,Yellow ,1
Clock (2:00),44.12496121,23.36624529,Pink,2
Clock (2:00),44.18908437,28.77262547,Pink,2
Clock (2:00),44.32477884,71.0459044,Pink,2
Clock (2:00),44.36071943,70.47420705,Pink,2
banana,44.37791453,78.164628,Orange,1
banana,44.41640111,28.94769233,Blue,1
Pentagon ,44.44384061,36.0190833,Yellow,5
Clock (2:00),44.51733395,70.36934983,Pink,2
polygons (11 sides),44.54684128,50.41591338,Grey,22
polygons (15 sides),44.59021258,22.03401164,Grey,5
banana,44.67676155,80.23828555,Blue,1
polygons (11 sides),44.84998426,70.39520297,Grey,22
banana,44.8718,13.718,Yellow ,1
Pentagon ,45.00630045,38.29901955,Yellow,5
banana,45.01027007,77.88086312,Orange,1
banana,45.02899753,17.7244473,Orange,1
banana,45.04107713,17.73451773,Orange,1
Clock (2:00),45.2257382,30.55522592,Pink,2
polygons (15 sides),45.25157607,70.00342132,Grey,5
polygons (11 sides),45.31722551,10.49587339,Grey,22
polygons (15 sides),45.37801888,29.16921665,Grey,5
banana,45.3846,36.4103,Yellow ,1
Clock (2:00),45.42293218,69.09550167,Pink,2
polygons (15 sides),45.59648495,9.763348849,Grey,5
banana,45.61743919,78.11997023,Orange,1
banana,45.80193476,81.65826775,Blue,1
Clock (2:00),45.81424531,31.05697967,Pink,2
banana,45.83502017,82.74259199,Blue,1
banana,45.85966932,17.12890368,Blue,1
banana,45.87036917,17.48939337,Orange,1
polygons (15 sides),46.08227578,23.11045782,Grey,5
polygons (11 sides),46.12768634,30.44941078,Grey,22
banana,46.1538,94.4872,Yellow ,1
banana,46.1538,6.0256,Yellow ,1
polygons (11 sides),46.2381176,30.49561294,Grey,22
Clock (2:00),46.28063196,68.02842315,Pink,2
polygons (15 sides),46.59276797,84.97238278,Grey,5
Clock (2:00),46.64311927,31.40721906,Pink,2
banana,46.6667,54.1026,Yellow ,1
polygons (11 sides),46.6883405,10.50753214,Grey,22
polygons (15 sides),46.84485517,36.79171369,Grey,5
banana,46.9231,79.8718,Yellow ,1
banana,46.96246199,78.666559,Orange,1
banana,46.96578576,16.78920162,Blue,1
polygons (11 sides),47.05412988,90.45893603,Grey,22
banana,47.09372989,26.99347063,Blue,1
Clock (2:00),47.13012716,31.30990292,Pink,2
Clock (2:00),47.14278893,32.02506417,Pink,2
Pentagon ,47.15540481,22.37793253,Yellow,5
banana,47.1795,28.718,Yellow ,1
banana,47.1795,9.8718,Yellow ,1
banana,47.34801855,72.59161154,Blue,1
banana,47.35241646,17.13474543,Orange,1
banana,47.4359,16.0256,Yellow ,1
polygons (15 sides),47.48813268,85.38993338,Grey,5
banana,47.54950635,17.07140452,Orange,1
Clock (2:00),47.5521602,66.46040372,Pink,2
banana,47.87519834,78.67585343,Orange,1
polygons (11 sides),47.91695544,30.48672575,Grey,22
banana,47.9487,77.5641,Yellow ,1
banana,47.9487,95,Yellow ,1
banana,48.2051,38.3333,Yellow ,1
banana,48.2051,84.1026,Yellow ,1
banana,48.25348097,29.27085553,Blue,1
polygons (11 sides),48.4422995,30.50172278,Grey,22
Clock (2:00),48.53062937,34.15245001,Pink,2
banana,48.55981672,78.7883706,Orange,1
banana,48.562223,78.78238353,Orange,1
Clock (2:00),48.66492462,64.96100494,Pink,2
banana,48.7179,14.8718,Yellow ,1
banana,48.7179,11.0256,Yellow ,1
polygons (15 sides),48.8231975,76.63533058,Grey,5
banana,48.89055576,16.80654352,Orange,1
polygons (15 sides),48.90704296,74.28774883,Grey,5
banana,48.91461824,16.79863708,Orange,1
polygons (15 sides),48.9604602,72.62952573,Grey,5
banana,49.0187554,23.48927402,Blue,1
Pentagon ,49.11615686,63.66000062,Yellow,5
polygons (15 sides),49.25721834,81.88140323,Grey,5
banana,49.31046863,67.16876032,Blue,1
banana,49.36770682,22.0055807,Blue,1
Pentagon ,49.47110541,25.06301931,Yellow,5
banana,49.4872,42.1795,Yellow ,1
banana,49.4872,31.4103,Yellow ,1
banana,49.57091141,79.03812388,Orange,1
banana,49.58423926,16.75791601,Blue,1
polygons (11 sides),49.58584348,50.43498138,Grey,22
polygons (11 sides),49.65612629,50.43131987,Grey,22
Clock (2:00),49.65929394,36.27344274,Pink,2
Clock (3:00),49.68886384,42.01851441,Grey,3000
polygons (11 sides),49.73974533,30.47272489,Grey,22
banana,49.7436,17.5641,Yellow ,1
polygons (11 sides),49.74949841,10.48580291,Grey,22
polygons (11 sides),49.78694106,89.65804699,Grey,22
banana,49.83849299,16.67633028,Orange,1
Clock (3:00),49.91289859,55.58783891,Grey,3000
Clock (3:00),49.91905825,3.716853886,Grey,3000
Clock (3:00),49.92274192,38.44047291,Grey,3000
pentagon ,49.92838028,82.99366549,Neon Green,6
Clock (3:00),49.93412717,22.25613974,Grey,3000
Clock (3:00),49.94723996,48.22957673,Grey,3000
pentagon ,49.96490538,83.7083177,Neon Green,6
banana,49.96755118,28.46020333,Blue,1
pentagon ,49.99039495,83.99735692,Neon Green,6
banana,50,55.2564,Yellow ,1
banana,50,85.2564,Yellow ,1
banana,50,78.718,Yellow ,1
banana,50,95.7692,Yellow ,1
Clock (3:00),50.01630583,16.25368479,Grey,3000
banana,50.03225379,79.0130712,Orange,1
Clock (3:00),50.06310413,58.08503756,Grey,3000
pentagon ,50.06948192,83.05766953,Neon Green,6
Clock (3:00),50.08366451,10.2358819,Grey,3000
Clock (3:00),50.08705836,73.95187363,Grey,3000
Clock (3:00),50.0936501,11.60771342,Grey,3000
Clock (3:00),50.1040315,95.08853802,Grey,3000
Clock (3:00),50.10843997,18.25904434,Grey,3000
Clock (3:00),50.11563217,16.69400655,Grey,3000
pentagon ,50.12718203,82.99075,Neon Green,6
Clock (3:00),50.14439298,47.01428364,Grey,3000
banana,50.15741443,71.16172582,Blue,1
Clock (3:00),50.17317743,29.17786439,Grey,3000
pentagon ,50.17867185,83.18462233,Neon Green,6
Clock (3:00),50.17985013,36.80755934,Grey,3000
Clock (3:00),50.18670334,99.69468014,Grey,3000
Clock (3:00),50.2023181,47.212948,Grey,3000
pentagon ,50.20336581,82.98265686,Neon Green,6
Clock (3:00),50.20525897,57.92421717,Grey,3000
Clock (3:00),50.20540696,90.6405359,Grey,3000
pentagon ,50.2074802,85.4600474,Neon Green,6
Clock (3:00),50.20774112,73.11450352,Grey,3000
Clock (3:00),50.21088198,80.94177171,Grey,3000
pentagon ,50.21669503,83.75234297,Neon Green,6
Clock (3:00),50.23107188,80.64738706,Grey,3000
Clock (3:00),50.2347207,20.40447292,Grey,3000
Clock (3:00),50.25047086,71.95138521,Grey,3000
Clock (3:00),50.25300672,11.30208425,Grey,3000
Clock (3:00),50.25368369,81.74382872,Grey,3000
Clock (3:00),50.27493261,49.62349934,Grey,3000
Clock (3:00),50.27970164,15.60873757,Grey,3000
Clock (3:00),50.28240567,97.60998357,Grey,3000
Clock (3:00),50.28799443,12.87228221,Grey,3000
pentagon ,50.2885278,82.97525357,Neon Green,6
Clock (3:00),50.28881861,13.43641047,Grey,3000
Clock (3:00),50.31129937,26.86048827,Grey,3000
Clock (3:00),50.32592439,94.99463085,Grey,3000
Clock (3:00),50.32691086,90.02205349,Grey,3000
Clock (3:00),50.33348111,43.58867148,Grey,3000
Clock (3:00),50.33736264,40.91338614,Grey,3000
Clock (3:00),50.33742749,57.95531428,Grey,3000
Clock (3:00),50.33942548,18.72345069,Grey,3000
Pentagon ,50.33996967,26.47139661,Yellow,5
Clock (3:00),50.35226084,12.46860053,Grey,3000
pentagon ,50.35352141,17.06474308,Neon Green,6
Clock (3:00),50.37351885,82.21920572,Grey,3000
Clock (3:00),50.37405205,32.91824062,Grey,3000
Clock (3:00),50.37740199,16.50601506,Grey,3000
pentagon ,50.3782623,16.94627981,Neon Green,6
Clock (3:00),50.39940961,38.96383892,Grey,3000
Clock (3:00),50.41027163,98.62836944,Grey,3000
Clock (3:00),50.41647723,97.26969196,Grey,3000
Clock (3:00),50.4189792,60.52491173,Grey,3000
Clock (3:00),50.4209092,43.3479569,Grey,3000
pentagon ,50.42269806,82.90990147,Neon Green,6
Clock (3:00),50.43531516,56.43932247,Grey,3000
pentagon ,50.43552957,17.0651685,Neon Green,6
Clock (3:00),50.43829066,92.35476027,Grey,3000
Clock (3:00),50.43909202,37.6707718,Grey,3000
pentagon ,50.44380279,82.94182882,Neon Green,6
Clock (3:00),50.44411755,75.01329951,Grey,3000
Clock (3:00),50.44675142,57.23058894,Grey,3000
Clock (3:00),50.44830134,21.64025646,Grey,3000
pentagon ,50.44927033,83.96992038,Neon Green,6
Clock (3:00),50.45620733,89.98741013,Grey,3000
pentagon ,50.45885484,17.03857897,Neon Green,6
pentagon ,50.46422483,82.93532841,Neon Green,6
Clock (3:00),50.46722938,90.28146451,Grey,3000
Clock (3:00),50.46822122,13.35670246,Grey,3000
Clock (3:00),50.47414112,12.46199667,Grey,3000
pentagon ,50.47704772,17.04828941,Neon Green,6
Clock (3:00),50.48150817,93.22270137,Grey,3000
